run,signal,frequency_ghz,power
Bx,mx,1025.6373207441015,1.491363683668606e-18
Bx,mx,1027.6804229766594,1.490138928896772e-18
Bx,mx,1029.7235252092175,3.3117324823364947e-18
Bx,mx,1031.7666274417754,2.2290326022925055e-18
Bx,mx,1033.8097296743335,6.4295196999830296e-18
Bx,mx,1035.8528319068914,8.501026268640715e-18
Bx,mx,1037.8959341394493,1.1926126520192944e-17
Bx,mx,1039.9390363720072,6.093102780433568e-18
Bx,mx,1041.9821386045653,6.095609911431557e-18
Bx,mx,1044.0252408371232,6.2041688943809636e-18
Bx,mx,1046.0683430696813,3.8118698130540186e-17
Bx,mx,1048.1114453022392,1.890797244882671e-17
Bx,mx,1050.154547534797,1.1935101901152894e-18
Bx,mx,1052.1976497673552,1.3406436759313273e-17
Bx,mx,1054.240751999913,1.138660621885711e-17
Bx,mx,1056.283854232471,1.165514511127134e-17
Bx,mx,1058.326956465029,2.1170520463823296e-18
Bx,mx,1060.370058697587,1.7644614954637977e-17
Bx,mx,1062.413160930145,2.3721745626822768e-17
Bx,mx,1064.456263162703,1.3879481726529937e-18
Bx,mx,1066.4993653952608,6.543222111753284e-18
Bx,mx,1068.542467627819,6.449846299648956e-18
Bx,mx,1070.5855698603768,4.32190263014735e-18
Bx,mx,1072.628672092935,4.095625579349803e-19
